Start time: 1725157566
mixbench-cpu (440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 3
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    2.73,   24.57,  98.29,      0.125,    2.81,   11.95,  95.56,     0.250,    1.64,   41.00, 163.98
            1,      0.750,    3.47,   58.04,  77.38,      0.375,    3.47,   28.99,  77.31,     0.750,    2.86,   70.30,  93.73
            2,      1.250,    3.54,   94.68,  75.74,      0.625,    3.54,   47.42,  75.87,     1.250,    3.05,  109.94,  87.95
            3,      1.750,    3.69,  127.44,  72.83,      0.875,    3.65,   64.42,  73.62,     1.750,    3.24,  144.99,  82.85
            4,      2.250,    3.81,  158.36,  70.38,      1.125,    3.79,   79.64,  70.79,     2.250,    3.39,  178.32,  79.25
            6,      3.250,    4.06,  214.83,  66.10,      1.625,    3.98,  109.66,  67.48,     3.250,    3.69,  236.68,  72.83
            8,      4.250,    4.40,  259.05,  60.95,      2.125,    4.38,  130.35,  61.34,     4.250,    4.03,  283.30,  66.66
           12,      6.250,    5.45,  307.78,  49.25,      3.125,    5.42,  154.69,  49.50,     6.250,    6.24,  268.99,  43.04
           16,      8.250,    6.57,  336.97,  40.85,      4.125,    6.54,  169.44,  41.08,     8.250,    8.12,  272.70,  33.05
           20,     10.250,    8.21,  334.93,  32.68,      5.125,    8.25,  166.78,  32.54,    10.250,   10.21,  269.54,  26.30
           24,     12.250,   10.49,  313.59,  25.60,      6.125,   10.47,  157.04,  25.64,    12.250,   12.21,  269.38,  21.99
           28,     14.250,   11.48,  333.12,  23.38,      7.125,   11.43,  167.38,  23.49,    14.250,   14.30,  267.55,  18.78
           32,     16.250,   13.02,  334.95,  20.61,      8.125,   13.02,  167.58,  20.63,    16.250,   16.11,  270.80,  16.66
           40,     20.250,   16.25,  334.53,  16.52,     10.125,   16.23,  167.42,  16.54,    20.250,   20.32,  267.54,  13.21
           48,     24.250,   19.65,  331.21,  13.66,     12.125,   19.62,  165.87,  13.68,    24.250,   24.52,  265.47,  10.95
           56,     28.250,   23.12,  327.98,  11.61,     14.125,   23.14,  163.86,  11.60,    28.250,   28.75,  263.75,   9.34
           64,     32.250,   26.67,  324.65,  10.07,     16.125,   26.73,  161.92,  10.04,    32.250,   33.09,  261.63,   8.11
           80,     40.250,   32.99,  327.54,   8.14,     20.125,   32.93,  164.04,   8.15,    40.250,   41.78,  258.62,   6.43
          104,     52.250,   43.58,  321.82,   6.16,     26.125,   43.73,  160.37,   6.14,    52.250,   54.65,  256.64,   4.91
          120,     60.250,   50.76,  318.65,   5.29,     30.125,   51.35,  157.49,   5.23,    60.250,   63.21,  255.87,   4.25
          128,     64.250,   55.15,  312.72,   4.87,     32.125,   55.21,  156.20,   4.86,    64.250,   67.53,  255.41,   3.98
          160,     80.250,   66.90,  322.00,   4.01,     40.125,   66.89,  161.02,   4.01,    80.250,   86.15,  250.06,   3.12
          192,     96.250,   83.04,  311.13,   3.23,     48.125,   82.86,  155.90,   3.24,    96.250,  103.34,  250.03,   2.60
          256,    128.250,  109.65,  313.97,   2.45,     64.125,  109.80,  156.76,   2.44,   128.250,  137.76,  249.91,   1.95
          320,    160.250,  139.26,  308.90,   1.93,     80.125,  139.37,  154.33,   1.93,   160.250,  172.29,  249.67,   1.56
          512,    256.250,  225.63,  304.86,   1.19,    128.125,  225.66,  152.41,   1.19,   256.250,  275.69,  249.50,   0.97
------------------------------------------------------------------------------------------------------------------------------
End time: 1725157722
