Start time: 1725157526
mixbench-cpu (440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 3
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    2.81,   23.84,  95.36,      0.125,    2.85,   11.77,  94.12,     0.250,    1.76,   38.20, 152.78
            1,      0.750,    3.52,   57.26,  76.35,      0.375,    3.54,   28.48,  75.94,     0.750,    2.92,   68.92,  91.90
            2,      1.250,    3.58,   93.86,  75.09,      0.625,    3.59,   46.77,  74.84,     1.250,    3.09,  108.45,  86.76
            3,      1.750,    3.75,  125.24,  71.56,      0.875,    3.71,   63.28,  72.32,     1.750,    3.24,  144.90,  82.80
            4,      2.250,    3.83,  157.49,  70.00,      1.125,    3.82,   79.12,  70.33,     2.250,    3.42,  176.40,  78.40
            6,      3.250,    4.13,  211.29,  65.01,      1.625,    4.07,  107.28,  66.02,     3.250,    3.73,  233.83,  71.95
            8,      4.250,    4.43,  257.53,  60.59,      2.125,    4.39,  130.06,  61.20,     4.250,    4.08,  279.83,  65.84
           12,      6.250,    5.46,  307.39,  49.18,      3.125,    5.43,  154.46,  49.43,     6.250,    6.24,  268.91,  43.03
           16,      8.250,    6.58,  336.77,  40.82,      4.125,    6.54,  169.26,  41.03,     8.250,    8.10,  273.34,  33.13
           20,     10.250,    8.22,  334.69,  32.65,      5.125,    8.25,  166.69,  32.53,    10.250,   10.17,  270.55,  26.39
           24,     12.250,   10.56,  311.48,  25.43,      6.125,   10.48,  156.87,  25.61,    12.250,   12.20,  269.60,  22.01
           28,     14.250,   11.50,  332.71,  23.35,      7.125,   11.41,  167.58,  23.52,    14.250,   14.28,  267.89,  18.80
           32,     16.250,   13.03,  334.90,  20.61,      8.125,   13.01,  167.63,  20.63,    16.250,   16.10,  270.92,  16.67
           40,     20.250,   16.25,  334.61,  16.52,     10.125,   16.23,  167.50,  16.54,    20.250,   20.31,  267.59,  13.21
           48,     24.250,   19.62,  331.78,  13.68,     12.125,   19.62,  165.92,  13.68,    24.250,   24.51,  265.54,  10.95
           56,     28.250,   23.12,  328.00,  11.61,     14.125,   23.14,  163.88,  11.60,    28.250,   28.75,  263.81,   9.34
           64,     32.250,   26.66,  324.74,  10.07,     16.125,   26.72,  161.97,  10.04,    32.250,   33.08,  261.72,   8.12
           80,     40.250,   32.98,  327.63,   8.14,     20.125,   32.91,  164.15,   8.16,    40.250,   41.77,  258.68,   6.43
          104,     52.250,   43.55,  322.04,   6.16,     26.125,   43.72,  160.40,   6.14,    52.250,   54.63,  256.73,   4.91
          120,     60.250,   50.74,  318.72,   5.29,     30.125,   51.32,  157.56,   5.23,    60.250,   63.20,  255.92,   4.25
          128,     64.250,   55.15,  312.75,   4.87,     32.125,   55.20,  156.24,   4.86,    64.250,   67.51,  255.46,   3.98
          160,     80.250,   66.89,  322.06,   4.01,     40.125,   66.89,  161.02,   4.01,    80.250,   86.13,  250.11,   3.12
          192,     96.250,   83.01,  311.24,   3.23,     48.125,   82.82,  155.98,   3.24,    96.250,  103.30,  250.11,   2.60
          256,    128.250,  109.61,  314.09,   2.45,     64.125,  109.80,  156.77,   2.44,   128.250,  137.73,  249.96,   1.95
          320,    160.250,  139.22,  308.98,   1.93,     80.125,  139.33,  154.37,   1.93,   160.250,  172.24,  249.75,   1.56
          512,    256.250,  225.54,  304.98,   1.19,    128.125,  225.58,  152.47,   1.19,   256.250,  275.62,  249.57,   0.97
------------------------------------------------------------------------------------------------------------------------------
End time: 1725157681
