Start time: 1725157392
mixbench-cpu (440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 3
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    3.02,   22.20,  88.80,      0.125,    3.29,   10.21,  81.67,     0.250,    2.23,   30.15, 120.59
            1,      0.750,    3.85,   52.35,  69.80,      0.375,    3.86,   26.10,  69.60,     0.750,    3.38,   59.60,  79.47
            2,      1.250,    3.93,   85.42,  68.34,      0.625,    3.88,   43.24,  69.18,     1.250,    3.52,   95.19,  76.15
            3,      1.750,    4.02,  116.97,  66.84,      0.875,    4.02,   58.40,  66.74,     1.750,    3.66,  128.32,  73.32
            4,      2.250,    4.08,  148.22,  65.87,      1.125,    4.13,   73.10,  64.98,     2.250,    3.77,  160.25,  71.22
            6,      3.250,    4.33,  201.67,  62.05,      1.625,    4.29,  101.75,  62.62,     3.250,    4.03,  216.59,  66.64
            8,      4.250,    4.59,  248.61,  58.50,      2.125,    4.60,  123.98,  58.34,     4.250,    4.29,  265.68,  62.51
           12,      6.250,    5.53,  303.28,  48.52,      3.125,    5.50,  152.44,  48.78,     6.250,    6.30,  266.39,  42.62
           16,      8.250,    6.66,  332.67,  40.32,      4.125,    6.63,  166.99,  40.48,     8.250,    8.15,  271.76,  32.94
           20,     10.250,    8.28,  332.22,  32.41,      5.125,    8.28,  166.17,  32.42,    10.250,   10.20,  269.70,  26.31
           24,     12.250,   10.56,  311.48,  25.43,      6.125,   10.54,  156.04,  25.48,    12.250,   12.24,  268.68,  21.93
           28,     14.250,   11.54,  331.42,  23.26,      7.125,   11.46,  166.95,  23.43,    14.250,   14.31,  267.37,  18.76
           32,     16.250,   13.05,  334.31,  20.57,      8.125,   13.03,  167.35,  20.60,    16.250,   16.11,  270.73,  16.66
           40,     20.250,   16.26,  334.39,  16.51,     10.125,   16.24,  167.38,  16.53,    20.250,   20.32,  267.48,  13.21
           48,     24.250,   19.63,  331.60,  13.67,     12.125,   19.61,  166.01,  13.69,    24.250,   24.52,  265.51,  10.95
           56,     28.250,   23.12,  327.93,  11.61,     14.125,   23.15,  163.77,  11.59,    28.250,   28.75,  263.79,   9.34
           64,     32.250,   26.64,  324.92,  10.07,     16.125,   26.73,  161.96,  10.04,    32.250,   33.09,  261.66,   8.11
           80,     40.250,   32.99,  327.49,   8.14,     20.125,   32.93,  164.03,   8.15,    40.250,   41.77,  258.68,   6.43
          104,     52.250,   43.49,  322.51,   6.17,     26.125,   43.48,  161.30,   6.17,    52.250,   54.64,  256.71,   4.91
          120,     60.250,   50.73,  318.82,   5.29,     30.125,   51.33,  157.54,   5.23,    60.250,   63.21,  255.87,   4.25
          128,     64.250,   55.15,  312.72,   4.87,     32.125,   55.20,  156.23,   4.86,    64.250,   67.52,  255.44,   3.98
          160,     80.250,   66.92,  321.92,   4.01,     40.125,   66.90,  161.01,   4.01,    80.250,   86.15,  250.05,   3.12
          192,     96.250,   83.05,  311.10,   3.23,     48.125,   82.86,  155.90,   3.24,    96.250,  103.34,  250.01,   2.60
          256,    128.250,  109.64,  313.98,   2.45,     64.125,  109.79,  156.78,   2.44,   128.250,  137.78,  249.87,   1.95
          320,    160.250,  139.25,  308.92,   1.93,     80.125,  139.39,  154.30,   1.93,   160.250,  172.31,  249.65,   1.56
          512,    256.250,  225.62,  304.88,   1.19,    128.125,  225.66,  152.41,   1.19,   256.250,  275.72,  249.48,   0.97
------------------------------------------------------------------------------------------------------------------------------
End time: 1725157548
