Start time: 1725157550
mixbench-cpu (440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 3
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    2.92,   23.01,  92.06,      0.125,    3.07,   10.93,  87.47,     0.250,    1.95,   34.43, 137.73
            1,      0.750,    3.64,   55.36,  73.81,      0.375,    3.63,   27.76,  74.03,     0.750,    3.10,   65.01,  86.68
            2,      1.250,    3.71,   90.54,  72.43,      0.625,    3.71,   45.19,  72.30,     1.250,    3.25,  103.31,  82.65
            3,      1.750,    3.83,  122.69,  70.11,      0.875,    3.77,   62.27,  71.17,     1.750,    3.46,  135.89,  77.65
            4,      2.250,    3.96,  152.60,  67.82,      1.125,    3.93,   76.78,  68.25,     2.250,    3.66,  165.11,  73.38
            6,      3.250,    4.18,  208.46,  64.14,      1.625,    4.18,  104.33,  64.20,     3.250,    3.90,  223.98,  68.92
            8,      4.250,    4.48,  254.77,  59.95,      2.125,    4.43,  128.65,  60.54,     4.250,    4.14,  275.30,  64.78
           12,      6.250,    5.48,  306.27,  49.00,      3.125,    5.45,  154.06,  49.30,     6.250,    6.25,  268.39,  42.94
           16,      8.250,    6.59,  336.10,  40.74,      4.125,    6.55,  168.95,  40.96,     8.250,    8.12,  272.73,  33.06
           20,     10.250,    8.24,  333.92,  32.58,      5.125,    8.28,  166.19,  32.43,    10.250,   10.19,  270.12,  26.35
           24,     12.250,   10.53,  312.28,  25.49,      6.125,   10.52,  156.35,  25.53,    12.250,   12.22,  269.05,  21.96
           28,     14.250,   11.51,  332.42,  23.33,      7.125,   11.44,  167.14,  23.46,    14.250,   14.30,  267.48,  18.77
           32,     16.250,   13.04,  334.41,  20.58,      8.125,   13.03,  167.40,  20.60,    16.250,   16.11,  270.75,  16.66
           40,     20.250,   16.25,  334.47,  16.52,     10.125,   16.23,  167.43,  16.54,    20.250,   20.31,  267.59,  13.21
           48,     24.250,   19.63,  331.66,  13.68,     12.125,   19.62,  165.87,  13.68,    24.250,   24.51,  265.56,  10.95
           56,     28.250,   23.13,  327.91,  11.61,     14.125,   23.15,  163.79,  11.60,    28.250,   28.75,  263.80,   9.34
           64,     32.250,   26.66,  324.70,  10.07,     16.125,   26.74,  161.89,  10.04,    32.250,   33.09,  261.65,   8.11
           80,     40.250,   33.00,  327.43,   8.13,     20.125,   32.92,  164.10,   8.15,    40.250,   41.77,  258.64,   6.43
          104,     52.250,   43.55,  322.03,   6.16,     26.125,   43.74,  160.32,   6.14,    52.250,   54.63,  256.72,   4.91
          120,     60.250,   50.75,  318.68,   5.29,     30.125,   51.34,  157.50,   5.23,    60.250,   63.20,  255.93,   4.25
          128,     64.250,   55.15,  312.75,   4.87,     32.125,   55.18,  156.27,   4.86,    64.250,   67.52,  255.44,   3.98
          160,     80.250,   66.92,  321.88,   4.01,     40.125,   66.91,  160.97,   4.01,    80.250,   86.17,  249.99,   3.12
          192,     96.250,   83.03,  311.18,   3.23,     48.125,   82.86,  155.91,   3.24,    96.250,  103.33,  250.05,   2.60
          256,    128.250,  109.63,  314.03,   2.45,     64.125,  109.80,  156.77,   2.44,   128.250,  137.76,  249.91,   1.95
          320,    160.250,  139.24,  308.94,   1.93,     80.125,  139.36,  154.34,   1.93,   160.250,  172.27,  249.71,   1.56
          512,    256.250,  225.60,  304.90,   1.19,    128.125,  225.64,  152.43,   1.19,   256.250,  275.68,  249.52,   0.97
------------------------------------------------------------------------------------------------------------------------------
End time: 1725157706
