Start time: 1725157667
mixbench-cpu (440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 3
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    2.91,   23.05,  92.21,      0.125,    2.92,   11.50,  92.02,     0.250,    1.76,   38.22, 152.87
            1,      0.750,    3.51,   57.41,  76.54,      0.375,    3.52,   28.57,  76.20,     0.750,    3.05,   65.97,  87.95
            2,      1.250,    3.60,   93.10,  74.48,      0.625,    3.65,   45.96,  73.54,     1.250,    3.16,  106.18,  84.95
            3,      1.750,    3.74,  125.74,  71.85,      0.875,    3.68,   63.84,  72.96,     1.750,    3.37,  139.56,  79.75
            4,      2.250,    3.83,  157.86,  70.16,      1.125,    3.83,   78.77,  70.01,     2.250,    3.41,  177.33,  78.81
            6,      3.250,    4.06,  214.72,  66.07,      1.625,    4.07,  107.15,  65.94,     3.250,    3.77,  231.23,  71.15
            8,      4.250,    4.46,  255.51,  60.12,      2.125,    4.46,  127.87,  60.17,     4.250,    4.09,  278.87,  65.62
           12,      6.250,    5.53,  303.44,  48.55,      3.125,    5.51,  152.30,  48.74,     6.250,    6.31,  265.76,  42.52
           16,      8.250,    6.64,  333.47,  40.42,      4.125,    6.59,  168.03,  40.73,     8.250,    8.15,  271.83,  32.95
           20,     10.250,    8.25,  333.43,  32.53,      5.125,    8.31,  165.51,  32.29,    10.250,   10.21,  269.54,  26.30
           24,     12.250,   10.52,  312.46,  25.51,      6.125,   10.51,  156.50,  25.55,    12.250,   12.21,  269.29,  21.98
           28,     14.250,   11.52,  331.96,  23.30,      7.125,   11.43,  167.36,  23.49,    14.250,   14.28,  267.83,  18.80
           32,     16.250,   13.04,  334.57,  20.59,      8.125,   13.03,  167.39,  20.60,    16.250,   16.11,  270.77,  16.66
           40,     20.250,   16.24,  334.64,  16.53,     10.125,   16.22,  167.53,  16.55,    20.250,   20.31,  267.59,  13.21
           48,     24.250,   19.63,  331.60,  13.67,     12.125,   19.62,  165.92,  13.68,    24.250,   24.51,  265.56,  10.95
           56,     28.250,   23.12,  327.97,  11.61,     14.125,   23.14,  163.88,  11.60,    28.250,   28.75,  263.77,   9.34
           64,     32.250,   26.67,  324.62,  10.07,     16.125,   26.75,  161.82,  10.04,    32.250,   33.09,  261.61,   8.11
           80,     40.250,   33.00,  327.40,   8.13,     20.125,   32.93,  164.04,   8.15,    40.250,   41.78,  258.61,   6.43
          104,     52.250,   43.56,  321.95,   6.16,     26.125,   43.73,  160.37,   6.14,    52.250,   54.65,  256.67,   4.91
          120,     60.250,   50.76,  318.63,   5.29,     30.125,   51.34,  157.52,   5.23,    60.250,   63.22,  255.84,   4.25
          128,     64.250,   55.13,  312.85,   4.87,     32.125,   55.19,  156.26,   4.86,    64.250,   67.53,  255.40,   3.98
          160,     80.250,   66.92,  321.89,   4.01,     40.125,   66.90,  160.99,   4.01,    80.250,   86.15,  250.06,   3.12
          192,     96.250,   82.98,  311.37,   3.24,     48.125,   82.82,  155.98,   3.24,    96.250,  103.32,  250.06,   2.60
          256,    128.250,  109.63,  314.03,   2.45,     64.125,  109.77,  156.82,   2.45,   128.250,  137.75,  249.91,   1.95
          320,    160.250,  139.24,  308.94,   1.93,     80.125,  139.35,  154.35,   1.93,   160.250,  172.26,  249.72,   1.56
          512,    256.250,  225.60,  304.90,   1.19,    128.125,  225.63,  152.43,   1.19,   256.250,  275.68,  249.52,   0.97
------------------------------------------------------------------------------------------------------------------------------
End time: 1725157822
