Start time: 1725157866
mixbench-cpu (440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 3
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    2.95,   22.77,  91.09,      0.125,    3.33,   10.07,  80.59,     0.250,    2.09,   32.08, 128.32
            1,      0.750,    3.69,   54.52,  72.69,      0.375,    3.76,   26.78,  71.41,     0.750,    3.20,   62.95,  83.94
            2,      1.250,    3.88,   86.37,  69.10,      0.625,    3.77,   44.47,  71.15,     1.250,    3.37,   99.57,  79.65
            3,      1.750,    3.93,  119.44,  68.25,      0.875,    3.94,   59.58,  68.10,     1.750,    3.52,  133.38,  76.22
            4,      2.250,    4.04,  149.61,  66.49,      1.125,    4.02,   75.12,  66.77,     2.250,    3.67,  164.66,  73.18
            6,      3.250,    4.26,  204.55,  62.94,      1.625,    4.21,  103.64,  63.78,     3.250,    3.92,  222.78,  68.55
            8,      4.250,    4.56,  250.13,  58.85,      2.125,    4.53,  126.01,  59.30,     4.250,    4.22,  270.09,  63.55
           12,      6.250,    5.52,  303.94,  48.63,      3.125,    5.46,  153.75,  49.20,     6.250,    6.25,  268.35,  42.94
           16,      8.250,    6.64,  333.62,  40.44,      4.125,    6.55,  168.98,  40.96,     8.250,    8.12,  272.70,  33.05
           20,     10.250,    8.22,  334.61,  32.64,      5.125,    8.28,  166.09,  32.41,    10.250,   10.19,  270.04,  26.35
           24,     12.250,   10.55,  311.72,  25.45,      6.125,   10.52,  156.26,  25.51,    12.250,   12.21,  269.43,  21.99
           28,     14.250,   11.50,  332.66,  23.34,      7.125,   11.45,  167.04,  23.44,    14.250,   14.29,  267.70,  18.79
           32,     16.250,   13.03,  334.80,  20.60,      8.125,   13.03,  167.40,  20.60,    16.250,   16.11,  270.77,  16.66
           40,     20.250,   16.25,  334.51,  16.52,     10.125,   16.23,  167.41,  16.53,    20.250,   20.32,  267.52,  13.21
           48,     24.250,   19.64,  331.46,  13.67,     12.125,   19.62,  165.86,  13.68,    24.250,   24.52,  265.49,  10.95
           56,     28.250,   23.12,  328.01,  11.61,     14.125,   23.14,  163.83,  11.60,    28.250,   28.75,  263.79,   9.34
           64,     32.250,   26.66,  324.68,  10.07,     16.125,   26.74,  161.85,  10.04,    32.250,   33.08,  261.67,   8.11
           80,     40.250,   32.98,  327.62,   8.14,     20.125,   32.92,  164.09,   8.15,    40.250,   41.77,  258.67,   6.43
          104,     52.250,   43.55,  322.08,   6.16,     26.125,   43.73,  160.37,   6.14,    52.250,   54.63,  256.74,   4.91
          120,     60.250,   50.74,  318.75,   5.29,     30.125,   51.34,  157.50,   5.23,    60.250,   63.20,  255.90,   4.25
          128,     64.250,   55.15,  312.75,   4.87,     32.125,   55.19,  156.25,   4.86,    64.250,   67.50,  255.50,   3.98
          160,     80.250,   66.90,  322.02,   4.01,     40.125,   66.88,  161.04,   4.01,    80.250,   86.13,  250.12,   3.12
          192,     96.250,   83.01,  311.24,   3.23,     48.125,   82.83,  155.97,   3.24,    96.250,  103.31,  250.09,   2.60
          256,    128.250,  109.61,  314.07,   2.45,     64.125,  109.73,  156.87,   2.45,   128.250,  137.74,  249.94,   1.95
          320,    160.250,  139.22,  308.98,   1.93,     80.125,  139.32,  154.39,   1.93,   160.250,  172.24,  249.75,   1.56
          512,    256.250,  225.58,  304.93,   1.19,    128.125,  225.59,  152.46,   1.19,   256.250,  275.63,  249.56,   0.97
------------------------------------------------------------------------------------------------------------------------------
End time: 1725158021
