Start time: 1725157712
mixbench-cpu (440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 3
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    2.89,   23.21,  92.85,      0.125,    3.23,   10.38,  83.03,     0.250,    1.98,   33.88, 135.51
            1,      0.750,    3.79,   53.11,  70.81,      0.375,    3.77,   26.74,  71.30,     0.750,    3.19,   63.15,  84.20
            2,      1.250,    3.82,   87.86,  70.29,      0.625,    3.78,   44.40,  71.03,     1.250,    3.29,  102.02,  81.62
            3,      1.750,    3.88,  121.23,  69.27,      0.875,    3.88,   60.55,  69.20,     1.750,    3.53,  133.11,  76.07
            4,      2.250,    4.00,  150.84,  67.04,      1.125,    3.98,   75.93,  67.50,     2.250,    3.65,  165.66,  73.62
            6,      3.250,    4.22,  206.78,  63.63,      1.625,    4.18,  104.38,  64.23,     3.250,    3.93,  222.10,  68.34
            8,      4.250,    4.53,  251.79,  59.24,      2.125,    4.49,  126.96,  59.75,     4.250,    4.21,  270.79,  63.72
           12,      6.250,    5.49,  305.82,  48.93,      3.125,    5.43,  154.46,  49.43,     6.250,    6.26,  268.09,  42.89
           16,      8.250,    6.57,  336.87,  40.83,      4.125,    6.55,  169.10,  41.00,     8.250,    8.14,  272.16,  32.99
           20,     10.250,    8.26,  333.31,  32.52,      5.125,    8.29,  166.03,  32.40,    10.250,   10.17,  270.47,  26.39
           24,     12.250,   10.54,  312.13,  25.48,      6.125,   10.52,  156.30,  25.52,    12.250,   12.23,  268.85,  21.95
           28,     14.250,   11.51,  332.48,  23.33,      7.125,   11.44,  167.19,  23.46,    14.250,   14.28,  267.91,  18.80
           32,     16.250,   13.03,  334.69,  20.60,      8.125,   13.02,  167.58,  20.63,    16.250,   16.11,  270.77,  16.66
           40,     20.250,   16.25,  334.53,  16.52,     10.125,   16.23,  167.46,  16.54,    20.250,   20.32,  267.56,  13.21
           48,     24.250,   19.62,  331.71,  13.68,     12.125,   19.61,  165.93,  13.69,    24.250,   24.51,  265.54,  10.95
           56,     28.250,   23.12,  327.98,  11.61,     14.125,   23.14,  163.85,  11.60,    28.250,   28.75,  263.79,   9.34
           64,     32.250,   26.66,  324.77,  10.07,     16.125,   26.73,  161.95,  10.04,    32.250,   33.08,  261.69,   8.11
           80,     40.250,   32.97,  327.69,   8.14,     20.125,   32.92,  164.11,   8.15,    40.250,   41.76,  258.71,   6.43
          104,     52.250,   43.53,  322.17,   6.17,     26.125,   43.72,  160.39,   6.14,    52.250,   54.62,  256.77,   4.91
          120,     60.250,   50.74,  318.77,   5.29,     30.125,   51.34,  157.52,   5.23,    60.250,   63.18,  255.98,   4.25
          128,     64.250,   55.13,  312.85,   4.87,     32.125,   55.19,  156.24,   4.86,    64.250,   67.50,  255.50,   3.98
          160,     80.250,   66.88,  322.08,   4.01,     40.125,   66.89,  161.03,   4.01,    80.250,   86.12,  250.14,   3.12
          192,     96.250,   83.01,  311.25,   3.23,     48.125,   82.82,  155.98,   3.24,    96.250,  103.30,  250.12,   2.60
          256,    128.250,  109.60,  314.13,   2.45,     64.125,  109.76,  156.83,   2.45,   128.250,  137.72,  249.98,   1.95
          320,    160.250,  139.22,  308.99,   1.93,     80.125,  139.33,  154.37,   1.93,   160.250,  172.24,  249.74,   1.56
          512,    256.250,  225.56,  304.96,   1.19,    128.125,  225.57,  152.47,   1.19,   256.250,  275.62,  249.57,   0.97
------------------------------------------------------------------------------------------------------------------------------
End time: 1725157867
