Start time: 1725157368
mixbench-cpu (440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 3
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    3.03,   22.17,  88.68,      0.125,    3.16,   10.62,  84.92,     0.250,    2.09,   32.09, 128.38
            1,      0.750,    3.75,   53.67,  71.56,      0.375,    3.73,   27.00,  72.01,     0.750,    3.19,   63.05,  84.07
            2,      1.250,    3.83,   87.66,  70.12,      0.625,    3.89,   43.17,  69.08,     1.250,    3.43,   97.83,  78.26
            3,      1.750,    3.92,  119.96,  68.55,      0.875,    3.92,   59.87,  68.43,     1.750,    3.55,  132.25,  75.57
            4,      2.250,    4.05,  149.06,  66.25,      1.125,    4.01,   75.25,  66.89,     2.250,    3.66,  165.11,  73.38
            6,      3.250,    4.38,  199.36,  61.34,      1.625,    4.28,  101.89,  62.70,     3.250,    3.91,  223.01,  68.62
            8,      4.250,    4.55,  250.46,  58.93,      2.125,    4.53,  125.87,  59.23,     4.250,    4.25,  268.63,  63.21
           12,      6.250,    5.52,  304.10,  48.66,      3.125,    5.47,  153.44,  49.10,     6.250,    6.27,  267.71,  42.83
           16,      8.250,    6.61,  335.14,  40.62,      4.125,    6.58,  168.18,  40.77,     8.250,    8.12,  272.67,  33.05
           20,     10.250,    8.24,  333.92,  32.58,      5.125,    8.26,  166.47,  32.48,    10.250,   10.19,  270.04,  26.35
           24,     12.250,   10.52,  312.58,  25.52,      6.125,   10.51,  156.50,  25.55,    12.250,   12.21,  269.25,  21.98
           28,     14.250,   11.53,  331.91,  23.29,      7.125,   11.44,  167.19,  23.46,    14.250,   14.31,  267.38,  18.76
           32,     16.250,   13.05,  334.34,  20.57,      8.125,   13.02,  167.51,  20.62,    16.250,   16.11,  270.79,  16.66
           40,     20.250,   16.25,  334.47,  16.52,     10.125,   16.23,  167.49,  16.54,    20.250,   20.32,  267.52,  13.21
           48,     24.250,   19.65,  331.28,  13.66,     12.125,   19.62,  165.89,  13.68,    24.250,   24.52,  265.52,  10.95
           56,     28.250,   23.13,  327.88,  11.61,     14.125,   23.14,  163.83,  11.60,    28.250,   28.73,  263.99,   9.34
           64,     32.250,   26.66,  324.74,  10.07,     16.125,   26.73,  161.97,  10.04,    32.250,   33.08,  261.67,   8.11
           80,     40.250,   33.00,  327.42,   8.13,     20.125,   32.88,  164.30,   8.16,    40.250,   41.77,  258.66,   6.43
          104,     52.250,   43.54,  322.13,   6.17,     26.125,   43.73,  160.37,   6.14,    52.250,   54.62,  256.81,   4.91
          120,     60.250,   50.73,  318.83,   5.29,     30.125,   51.33,  157.54,   5.23,    60.250,   63.20,  255.91,   4.25
          128,     64.250,   55.12,  312.90,   4.87,     32.125,   55.19,  156.27,   4.86,    64.250,   67.50,  255.50,   3.98
          160,     80.250,   66.90,  322.01,   4.01,     40.125,   66.87,  161.06,   4.01,    80.250,   86.13,  250.10,   3.12
          192,     96.250,   83.02,  311.23,   3.23,     48.125,   82.85,  155.92,   3.24,    96.250,  103.31,  250.08,   2.60
          256,    128.250,  109.61,  314.08,   2.45,     64.125,  109.77,  156.81,   2.45,   128.250,  137.74,  249.94,   1.95
          320,    160.250,  139.24,  308.94,   1.93,     80.125,  139.34,  154.35,   1.93,   160.250,  172.25,  249.74,   1.56
          512,    256.250,  225.61,  304.90,   1.19,    128.125,  225.63,  152.43,   1.19,   256.250,  275.65,  249.54,   0.97
------------------------------------------------------------------------------------------------------------------------------
End time: 1725157524
