Start time: 1725157188
mixbench-cpu (440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 3
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    3.13,   21.46,  85.84,      0.125,    3.24,   10.35,  82.82,     0.250,    2.28,   29.38, 117.53
            1,      0.750,    3.65,   55.10,  73.46,      0.375,    3.67,   27.46,  73.22,     0.750,    3.35,   60.06,  80.08
            2,      1.250,    3.75,   89.50,  71.60,      0.625,    3.75,   44.72,  71.54,     1.250,    3.47,   96.70,  77.36
            3,      1.750,    3.85,  122.14,  69.80,      0.875,    3.82,   61.44,  70.22,     1.750,    3.56,  131.84,  75.34
            4,      2.250,    3.95,  152.75,  67.89,      1.125,    3.93,   76.86,  68.32,     2.250,    3.67,  164.80,  73.24
            6,      3.250,    4.18,  208.51,  64.16,      1.625,    4.13,  105.64,  65.01,     3.250,    3.88,  225.14,  69.27
            8,      4.250,    4.48,  254.71,  59.93,      2.125,    4.46,  127.90,  60.19,     4.250,    4.14,  275.77,  64.89
           12,      6.250,    5.53,  303.28,  48.52,      3.125,    5.49,  152.69,  48.86,     6.250,    6.29,  266.52,  42.64
           16,      8.250,    6.63,  334.23,  40.51,      4.125,    6.60,  167.85,  40.69,     8.250,    8.15,  271.76,  32.94
           20,     10.250,    8.27,  332.74,  32.46,      5.125,    8.29,  165.89,  32.37,    10.250,   10.21,  269.62,  26.30
           24,     12.250,   10.54,  311.96,  25.47,      6.125,   10.51,  156.44,  25.54,    12.250,   12.22,  269.14,  21.97
           28,     14.250,   11.53,  331.85,  23.29,      7.125,   11.45,  167.00,  23.44,    14.250,   14.28,  267.83,  18.80
           32,     16.250,   13.03,  334.77,  20.60,      8.125,   13.02,  167.58,  20.63,    16.250,   16.09,  271.09,  16.68
           40,     20.250,   16.24,  334.80,  16.53,     10.125,   16.22,  167.59,  16.55,    20.250,   20.30,  267.79,  13.22
           48,     24.250,   19.62,  331.73,  13.68,     12.125,   19.60,  166.09,  13.70,    24.250,   24.50,  265.73,  10.96
           56,     28.250,   23.11,  328.21,  11.62,     14.125,   23.12,  163.98,  11.61,    28.250,   28.72,  264.04,   9.35
           64,     32.250,   26.64,  324.90,  10.07,     16.125,   26.70,  162.09,  10.05,    32.250,   33.06,  261.87,   8.12
           80,     40.250,   32.95,  327.93,   8.15,     20.125,   32.88,  164.31,   8.16,    40.250,   41.74,  258.83,   6.43
          104,     52.250,   43.47,  322.62,   6.17,     26.125,   43.52,  161.13,   6.17,    52.250,   54.61,  256.85,   4.92
          120,     60.250,   50.72,  318.89,   5.29,     30.125,   51.32,  157.58,   5.23,    60.250,   63.17,  256.04,   4.25
          128,     64.250,   55.12,  312.92,   4.87,     32.125,   55.16,  156.32,   4.87,    64.250,   67.49,  255.54,   3.98
          160,     80.250,   66.88,  322.09,   4.01,     40.125,   66.87,  161.07,   4.01,    80.250,   86.13,  250.12,   3.12
          192,     96.250,   83.01,  311.26,   3.23,     48.125,   82.82,  155.98,   3.24,    96.250,  103.32,  250.07,   2.60
          256,    128.250,  109.60,  314.11,   2.45,     64.125,  109.72,  156.88,   2.45,   128.250,  137.74,  249.94,   1.95
          320,    160.250,  139.21,  309.02,   1.93,     80.125,  139.33,  154.37,   1.93,   160.250,  172.24,  249.74,   1.56
          512,    256.250,  225.55,  304.97,   1.19,    128.125,  225.60,  152.46,   1.19,   256.250,  275.63,  249.56,   0.97
------------------------------------------------------------------------------------------------------------------------------
End time: 1725157343
