,experiment,cost,size,duration
1,google/gke/cpu,1.1064720308939615,64,12.30020785331726
3,google/gke/cpu,1.06440492155287,64,11.83256459236145
5,google/gke/cpu,1.0138576599121094,64,11.270650863647461
7,google/gke/cpu,1.0484636318630642,64,11.655351638793945
8,google/gke/cpu,2.693584031422933,64,29.943498373031616
10,google/gke/cpu,1.039116953362359,64,11.551448345184326
11,google/gke/cpu,2.5898517322964136,64,28.790347814559937
13,google/gke/cpu,1.0226612770080565,64,11.36851716041565
82,google/compute-engine/cpu,0.9730283256530761,64,10.816767454147339
84,google/compute-engine/cpu,1.0423131896124944,64,11.586979627609253
86,google/compute-engine/cpu,0.9860453065660264,64,10.961472034454346
88,google/compute-engine/cpu,0.9758085529751246,64,10.847674131393433
90,google/compute-engine/cpu,0.9703253935919867,64,10.786720037460327
92,google/compute-engine/cpu,0.9814174136691622,64,10.910025596618652
164,on-premises/lassen/gpu,,64,126.08302807807922
166,on-premises/lassen/gpu,,64,126.08302807807922
168,on-premises/lassen/gpu,,64,126.08302807807922
170,on-premises/lassen/gpu,,64,126.08302807807922
172,on-premises/lassen/gpu,,64,126.08302807807922
204,aws/eks/cpu,1.2432653198242187,64,24.282525777816772
206,aws/eks/cpu,1.2372618896484373,64,24.165271282196045
208,aws/eks/cpu,1.2651693359374998,64,24.710338592529297
210,aws/eks/cpu,1.2504704833984375,64,24.423251628875732
212,aws/eks/cpu,1.2496962158203124,64,24.40812921524048
274,aws/parallel-cluster/cpu,0.5631999999999999,64,11
276,aws/parallel-cluster/cpu,0.5631999999999999,64,11
278,aws/parallel-cluster/cpu,0.6144000000000001,64,12
280,aws/parallel-cluster/cpu,0.5631999999999999,64,11
282,aws/parallel-cluster/cpu,0.5631999999999999,64,11
382,azure/aks/cpu,6.166060470581055,64,96.34469485282898
384,azure/aks/cpu,6.16903532409668,64,96.39117693901062
386,azure/aks/cpu,6.2455794067382815,64,97.58717823028564
388,azure/aks/cpu,6.1972900390625,64,96.83265686035156
390,azure/aks/cpu,6.337879180908204,64,99.02936220169067
15,google/gke/cpu,0.33946585896809894,32,7.547412872314453
17,google/gke/cpu,0.35542961446974003,32,7.902338266372681
19,google/gke/cpu,0.35820897318522127,32,7.964132308959961
21,google/gke/cpu,0.3724019079844157,32,8.279686689376831
22,google/gke/cpu,1.2965131106058756,32,28.825637340545654
24,google/gke/cpu,0.3480096769120958,32,7.7373692989349365
42,google/gke/gpu,26.45043214789497,32,127.38328838348389
44,google/gke/gpu,26.461570420328776,32,127.43692946434021
46,google/gke/gpu,26.46418781806098,32,127.44953465461731
48,google/gke/gpu,26.443539634195965,32,127.35009455680847
50,google/gke/gpu,26.466822889539934,32,127.46222496032715
94,google/compute-engine/cpu,0.3658255268096923,32,8.133472681045532
96,google/compute-engine/cpu,0.3204296919080946,32,7.124177932739258
98,google/compute-engine/cpu,0.3158975387573242,32,7.02341365814209
100,google/compute-engine/cpu,0.3218661526997884,32,7.1561150550842285
102,google/compute-engine/cpu,0.3171415549384223,32,7.051072120666504
124,google/compute-engine/gpu,26.45734565226237,32,127.41658329963684
126,google/compute-engine/gpu,27.345770543755428,32,131.69517064094543
128,google/compute-engine/gpu,26.472421605767146,32,127.48918795585632
130,google/compute-engine/gpu,26.456107895914716,32,127.41062235832214
132,google/compute-engine/gpu,26.54293099365234,32,127.8287558555603
174,on-premises/lassen/gpu,,32,126.08302807807922
176,on-premises/lassen/gpu,,32,126.08302807807922
178,on-premises/lassen/gpu,,32,126.08302807807922
180,on-premises/lassen/gpu,,32,126.08302807807922
182,on-premises/lassen/gpu,,32,126.08302807807922
214,aws/eks/cpu,0.3959267883300781,32,15.465890169143677
216,aws/eks/cpu,0.3902724670410156,32,15.245018243789673
218,aws/eks/cpu,0.38827995605468746,32,15.16718578338623
220,aws/eks/cpu,0.3941594543457031,32,15.396853685379028
222,aws/eks/cpu,0.39407025756835934,32,15.393369436264038
284,aws/parallel-cluster/cpu,0.28159999999999996,32,11
286,aws/parallel-cluster/cpu,0.28159999999999996,32,11
288,aws/parallel-cluster/cpu,0.28159999999999996,32,11
290,aws/parallel-cluster/cpu,0.30720000000000003,32,12
292,aws/parallel-cluster/cpu,0.28159999999999996,32,11
294,aws/parallel-cluster/cpu,0.28159999999999996,32,11
296,aws/parallel-cluster/cpu,0.28159999999999996,32,11
298,aws/parallel-cluster/cpu,0.28159999999999996,32,11
300,aws/parallel-cluster/cpu,0.30720000000000003,32,12
302,aws/parallel-cluster/cpu,0.30720000000000003,32,12
304,aws/parallel-cluster/cpu,0.28159999999999996,32,11
306,aws/parallel-cluster/cpu,0.28159999999999996,32,11
308,aws/parallel-cluster/cpu,0.28159999999999996,32,11
310,aws/parallel-cluster/cpu,0.28159999999999996,32,11
312,aws/parallel-cluster/cpu,0.28159999999999996,32,11
334,azure/cyclecloud/gpu,54.830222222222226,32,280
336,azure/cyclecloud/gpu,54.830222222222226,32,280
338,azure/cyclecloud/gpu,55.02604444444445,32,281
340,azure/cyclecloud/gpu,54.830222222222226,32,280
372,azure/aks/cpu,1.6799394760131836,32,52.49810862541199
374,azure/aks/cpu,1.679320068359375,32,52.47875213623047
376,azure/aks/cpu,1.6794342575073242,32,52.48232054710388
378,azure/aks/cpu,1.676884552001953,32,52.402642250061035
380,azure/aks/cpu,1.6888681640625,32,52.777130126953125
392,azure/aks/gpu,23.7822081313875,32,121.44795346260071
394,azure/aks/gpu,23.795458368280197,32,121.5156180858612
396,azure/aks/gpu,23.78700398078495,32,121.47244429588318
