,experiment,cloud,env,env_type,nodes,application,metric,value,gpu_count
71,google/gke/gpu,google,gke,gpu,4,mt-gemm,gflops_per_second_rate,249924.209805,32
72,google/gke/gpu,google,gke,gpu,4,mt-gemm,duration,126.06755447387695,32
73,google/gke/gpu,google,gke,gpu,4,mt-gemm,gflops_per_second_rate,250000.989271,32
74,google/gke/gpu,google,gke,gpu,4,mt-gemm,duration,126.0912401676178,32
75,google/gke/gpu,google,gke,gpu,4,mt-gemm,gflops_per_second_rate,250072.744375,32
76,google/gke/gpu,google,gke,gpu,4,mt-gemm,duration,126.027987241745,32
77,google/gke/gpu,google,gke,gpu,4,mt-gemm,gflops_per_second_rate,249984.185613,32
78,google/gke/gpu,google,gke,gpu,4,mt-gemm,duration,126.1315381526947,32
79,google/gke/gpu,google,gke,gpu,4,mt-gemm,gflops_per_second_rate,249902.747996,32
80,google/gke/gpu,google,gke,gpu,4,mt-gemm,duration,126.16198945045471,32
81,google/compute-engine/cpu,google,compute-engine,cpu,64,mt-gemm,performance_gflops_per_second,493.04,0
82,google/compute-engine/cpu,google,compute-engine,cpu,64,mt-gemm,duration,10.816767454147339,0
83,google/compute-engine/cpu,google,compute-engine,cpu,64,mt-gemm,performance_gflops_per_second,494.22,0
84,google/compute-engine/cpu,google,compute-engine,cpu,64,mt-gemm,duration,11.586979627609253,0
85,google/compute-engine/cpu,google,compute-engine,cpu,64,mt-gemm,performance_gflops_per_second,478.72,0
86,google/compute-engine/cpu,google,compute-engine,cpu,64,mt-gemm,duration,10.961472034454346,0
87,google/compute-engine/cpu,google,compute-engine,cpu,64,mt-gemm,performance_gflops_per_second,476.09,0
88,google/compute-engine/cpu,google,compute-engine,cpu,64,mt-gemm,duration,10.847674131393433,0
89,google/compute-engine/cpu,google,compute-engine,cpu,64,mt-gemm,performance_gflops_per_second,473.33,0
90,google/compute-engine/cpu,google,compute-engine,cpu,64,mt-gemm,duration,10.786720037460327,0
91,google/compute-engine/cpu,google,compute-engine,cpu,64,mt-gemm,performance_gflops_per_second,487.59,0
92,google/compute-engine/cpu,google,compute-engine,cpu,64,mt-gemm,duration,10.910025596618652,0
93,google/compute-engine/cpu,google,compute-engine,cpu,32,mt-gemm,performance_gflops_per_second,480.7,0
94,google/compute-engine/cpu,google,compute-engine,cpu,32,mt-gemm,duration,8.133472681045532,0
95,google/compute-engine/cpu,google,compute-engine,cpu,32,mt-gemm,performance_gflops_per_second,480.44,0
96,google/compute-engine/cpu,google,compute-engine,cpu,32,mt-gemm,duration,7.124177932739258,0
97,google/compute-engine/cpu,google,compute-engine,cpu,32,mt-gemm,performance_gflops_per_second,496.9,0
98,google/compute-engine/cpu,google,compute-engine,cpu,32,mt-gemm,duration,7.02341365814209,0
99,google/compute-engine/cpu,google,compute-engine,cpu,32,mt-gemm,performance_gflops_per_second,496.44,0
100,google/compute-engine/cpu,google,compute-engine,cpu,32,mt-gemm,duration,7.1561150550842285,0
101,google/compute-engine/cpu,google,compute-engine,cpu,32,mt-gemm,performance_gflops_per_second,494.81,0
102,google/compute-engine/cpu,google,compute-engine,cpu,32,mt-gemm,duration,7.051072120666504,0
103,google/compute-engine/cpu,google,compute-engine,cpu,128,mt-gemm,performance_gflops_per_second,494.17,0
