Start time: 1725075740
Point-to-point pairwise experiments for nodes cluster-256-hpc-12 cluster-256-hpc-98
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.55
1                       1.55
2                       1.55
4                       1.56
8                       1.56
16                      1.56
32                      1.71
64                      1.75
128                     1.80
256                     2.32
512                     2.45
1024                    2.56
2048                    2.73
4096                    3.46
8192                    3.99
16384                   5.30
32768                   6.82
65536                   9.05
131072                 14.01
262144                 17.07
524288                 27.68
1048576                49.76
2097152                92.31
4194304               176.78
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.97
2                       8.14
4                      16.33
8                      31.93
16                     65.45
32                    127.57
64                    248.84
128                   492.72
256                   954.57
512                  1763.58
1024                 3402.53
2048                 5993.57
4096                 9119.86
8192                13526.78
16384               18648.89
32768               21829.55
65536               23328.85
131072              24015.07
262144              24354.68
524288              24528.26
1048576             24612.03
2097152             24653.49
4194304             24669.82
Point-to-point pairwise experiments for nodes cluster-256-hpc-12 cluster-256-hpc-30
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.53
1                       1.53
2                       1.53
4                       1.53
8                       1.54
16                      1.55
32                      1.70
64                      1.74
128                     1.78
256                     2.32
512                     2.41
1024                    2.54
2048                    2.71
4096                    3.45
8192                    3.97
16384                   5.28
32768                   6.76
65536                   8.76
131072                 13.61
262144                 17.09
524288                 27.73
1048576                50.07
2097152                91.79
4194304               176.80
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.04
2                       8.08
4                      16.28
8                      32.28
16                     65.38
32                    126.64
64                    249.74
128                   493.22
256                   955.26
512                  1773.64
1024                 3400.99
2048                 6011.11
4096                 9180.40
8192                13642.48
16384               18933.76
32768               21885.43
65536               23384.89
131072              24014.00
262144              24359.03
524288              24528.68
1048576             24613.04
2097152             24652.84
4194304             24669.72
Point-to-point pairwise experiments for nodes cluster-256-hpc-12 cluster-256-hpc-108
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.56
1                       1.56
2                       1.56
4                       1.56
8                       1.56
16                      1.56
32                      1.73
64                      1.77
128                     1.82
256                     2.32
512                     2.44
1024                    2.62
2048                    2.72
4096                    3.45
8192                    3.99
16384                   5.29
32768                   6.64
65536                   8.83
131072                 13.53
262144                 17.15
524288                 27.79
1048576                49.75
2097152                92.40
4194304               176.71
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.06
2                       7.93
4                      16.27
8                      32.38
16                     63.24
32                    128.40
64                    242.68
128                   490.68
256                   941.23
512                  1765.69
1024                 3327.53
2048                 5998.46
4096                 9144.67
8192                13607.58
16384               19123.73
32768               21897.89
65536               23384.63
131072              24019.48
262144              24355.19
524288              24380.65
1048576             24612.08
2097152             24644.16
4194304             24672.53
Point-to-point pairwise experiments for nodes cluster-256-hpc-12 cluster-256-hpc-29
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.56
1                       1.56
2                       1.56
4                       1.56
8                       1.56
16                      1.56
32                      1.72
64                      1.77
128                     1.81
256                     2.32
512                     2.43
1024                    2.59
2048                    2.76
4096                    3.45
8192                    3.96
16384                   5.36
32768                   6.87
65536                   9.08
131072                 14.00
262144                 17.08
524288                 27.70
1048576                49.73
2097152                92.27
4194304               176.75
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.06
2                       7.72
4                      16.34
8                      31.96
16                     65.22
32                    128.96
64                    249.64
128                   492.02
