Start time: 1725077730
Allreduce iteration 1

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     227.11
8                      81.90
16                     54.42
32                     48.94
64                     49.21
128                    47.98
256                    72.30
512                    67.49
1024                   70.16
2048                  103.07
4096                  335.03
8192                  391.71
16384                 405.74
32768                 641.92
65536                 977.10
131072               3486.46
262144              21440.06
524288              21977.12
1048576             51357.86
Allreduce iteration 2

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     137.90
8                     112.30
16                     62.96
32                     26.96
64                     29.31
128                    98.48
256                    95.28
512                    66.82
1024                   89.42
2048                   93.38
4096                  180.34
8192                  610.21
16384                 617.73
32768                1697.26
65536                1375.55
131072               1990.23
262144              21377.24
524288              22713.53
1048576             52498.01
End time: 1725077823
