Start time: 1725067739
mixbench-cpu (v0.04-12-g440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 96
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,   13.49,    4.98,  19.90,      0.125,   13.47,    2.49,  19.93,     0.250,   11.41,    5.88,  23.53
            1,      0.750,   14.93,   13.49,  17.98,      0.375,   14.88,    6.77,  18.05,     0.750,   14.05,   14.33,  19.11
            2,      1.250,   15.12,   22.19,  17.75,      0.625,   15.08,   11.13,  17.80,     1.250,   14.35,   23.38,  18.70
            3,      1.750,   15.43,   30.45,  17.40,      0.875,   15.51,   15.14,  17.30,     1.750,   14.67,   32.03,  18.30
            4,      2.250,   15.82,   38.17,  16.96,      1.125,   15.77,   19.15,  17.03,     2.250,   15.11,   39.98,  17.77
            6,      3.250,   16.80,   51.94,  15.98,      1.625,   16.77,   26.01,  16.00,     3.250,   15.96,   54.65,  16.82
            8,      4.250,   17.45,   65.37,  15.38,      2.125,   17.52,   32.55,  15.32,     4.250,   16.37,   69.70,  16.40
           12,      6.250,   19.09,   87.90,  14.06,      3.125,   19.08,   43.96,  14.07,     6.250,   20.42,   82.16,  13.15
           16,      8.250,   21.33,  103.81,  12.58,      4.125,   21.24,   52.13,  12.64,     8.250,   25.56,   86.64,  10.50
           20,     10.250,   25.83,  106.53,  10.39,      5.125,   25.90,   53.12,  10.36,    10.250,   31.37,   87.70,   8.56
           24,     12.250,   32.32,  101.75,   8.31,      6.125,   32.31,   50.89,   8.31,    12.250,   37.36,   88.02,   7.18
           28,     14.250,   35.19,  108.69,   7.63,      7.125,   35.00,   54.64,   7.67,    14.250,   43.55,   87.83,   6.16
           32,     16.250,   39.63,  110.08,   6.77,      8.125,   39.69,   54.95,   6.76,    16.250,   48.63,   89.70,   5.52
           40,     20.250,   48.88,  111.20,   5.49,     10.125,   48.88,   55.61,   5.49,    20.250,   60.92,   89.23,   4.41
           48,     24.250,   58.76,  110.78,   4.57,     12.125,   58.85,   55.31,   4.56,    24.250,   73.20,   88.93,   3.67
           56,     28.250,   68.94,  110.00,   3.89,     14.125,   69.10,   54.87,   3.88,    28.250,   85.60,   88.59,   3.14
           64,     32.250,   79.39,  109.04,   3.38,     16.125,   79.78,   54.26,   3.36,    32.250,   98.39,   87.98,   2.73
           80,     40.250,   98.07,  110.17,   2.74,     20.125,   97.80,   55.24,   2.74,    40.250,  124.03,   87.11,   2.16
          104,     52.250,  128.93,  108.78,   2.08,     26.125,  129.19,   54.29,   2.08,    52.250,  161.67,   86.76,   1.66
          120,     60.250,  150.20,  107.68,   1.79,     30.125,  151.79,   53.28,   1.77,    60.250,  186.96,   86.51,   1.44
          128,     64.250,  162.67,  106.02,   1.65,     32.125,  162.36,   53.11,   1.65,    64.250,  199.68,   86.37,   1.34
          160,     80.250,  197.79,  108.91,   1.36,     40.125,  197.75,   54.47,   1.36,    80.250,  254.80,   84.54,   1.05
          192,     96.250,  245.13,  105.40,   1.10,     48.125,  244.56,   52.82,   1.10,    96.250,  304.87,   84.75,   0.88
          256,    128.250,  323.54,  106.41,   0.83,     64.125,  323.94,   53.14,   0.83,   128.250,  406.56,   84.68,   0.66
          320,    160.250,  408.00,  105.43,   0.66,     80.125,  407.31,   52.81,   0.66,   160.250,  508.20,   84.65,   0.53
          512,    256.250,  664.70,  103.49,   0.40,    128.125,  664.79,   51.74,   0.40,   256.250,  812.51,   84.66,   0.33
------------------------------------------------------------------------------------------------------------------------------
End time: 1725068015
