Start time: 1724890271
Point-to-point pairwise experiments for nodes cpu-cluster-hpc-28 cpu-cluster-hpc-4
# OSU MPI Latency Test v5.8
# Size          Latency (us)
512                  1745.13
1024                 3326.83
2048                 5957.73
4096                 9131.48
8192                13802.94
16384               18958.40
32768               21803.41
65536               23328.41
131072              23980.87
262144              24347.99
524288              24523.91
1048576             24609.93
2097152             24651.11
4194304             24673.08
Point-to-point pairwise experiments for nodes cpu-cluster-hpc-4 cpu-cluster-hpc-32
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.57
1                       1.56
2                       1.56
4                       1.57
8                       1.57
16                      1.58
32                      1.74
64                      1.79
128                     1.83
256                     2.33
512                     2.43
1024                    2.57
2048                    2.74
4096                    3.47
8192                    4.04
16384                   5.29
32768                   6.93
65536                   9.05
131072                 13.91
262144                 17.15
524288                 27.77
1048576                49.30
2097152                91.89
4194304               177.62
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.02
2                       8.13
4                      15.46
8                      32.50
16                     64.74
32                    129.11
64                    245.11
128                   488.66
256                   947.81
512                  1788.58
1024                 3384.03
2048                 6086.46
4096                 9170.99
8192                13618.77
16384               18847.33
32768               21857.53
65536               23363.46
131072              24016.39
262144              24357.98
524288              24516.46
1048576             24612.08
2097152             24649.48
4194304             24630.95
Point-to-point pairwise experiments for nodes cpu-cluster-hpc-4 cpu-cluster-hpc-20
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.56
1                       1.56
2                       1.56
4                       1.56
8                       1.56
16                      1.56
32                      1.72
64                      1.78
128                     1.82
256                     2.33
512                     2.42
1024                    2.55
2048                    2.72
4096                    3.46
8192                    4.05
16384                   5.27
32768                   6.78
65536                   8.93
131072                 13.73
262144                 17.16
524288                 27.79
1048576                49.38
2097152                91.82
4194304               177.57
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.05
2                       7.95
4                      16.06
8                      32.48
16                     64.61
32                    129.13
64                    247.64
128                   492.31
256                   945.50
512                  1778.44
1024                 3355.24
2048                 6069.56
4096                 9208.60
8192                13674.57
16384               18852.70
32768               21877.79
65536               22993.75
131072              23967.10
262144              24356.57
524288              24528.67
1048576             24612.36
2097152             24653.78
4194304             24667.31
Point-to-point pairwise experiments for nodes cpu-cluster-hpc-4 cpu-cluster-hpc-29
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.55
1                       1.55
2                       1.55
4                       1.56
8                       1.56
16                      1.56
32                      1.72
64                      1.77
128                     1.81
256                     2.33
512                     2.42
1024                    2.55
2048                    2.72
4096                    3.46
8192                    4.06
16384                   5.29
32768                   6.91
65536                   8.98
131072                 13.97
262144                 17.17
524288                 27.79
1048576                49.30
2097152                91.98
4194304               177.53
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.02
2                       8.10
4                      16.05
8                      32.72
16                     62.86
32                    129.50
64                    248.41
128                   492.84
256                   948.35
512                  1759.01
1024                 3349.76
2048                 5979.79
4096                 9154.03
8192                13629.09
16384               19007.53
32768               21735.58
65536               23334.56
131072              23980.44
262144              24338.05
524288              24305.45
1048576             24542.76
2097152             24582.60
4194304             24632.39
Point-to-point pairwise experiments for nodes cpu-cluster-hpc-4 cpu-cluster-hpc-22
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.54
1                       1.53
2                       1.53
4                       1.54
8                       1.54
16                      1.54
32                      1.70
64                      1.75
128                     1.79
256                     2.29
512                     2.35
1024                    2.54
2048                    2.71
4096                    3.46
8192                    4.02
16384                   5.59
32768                   6.75
65536                   8.80
131072                 13.48
262144                 17.26
524288                 28.09
1048576                49.69
2097152                91.85
4194304               177.18
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.08
2                       8.12
4                      16.27
8                      32.53
16                     64.46
32                    128.18
64                    246.20
128                   491.24
256                   936.88
512                  1731.64
1024                 3347.03
2048                 5987.17
4096                 9156.70
8192                13755.00
16384               19959.63
32768               22206.34
65536               23369.51
131072              23987.99
262144              24356.02
524288              24529.37
1048576             24612.70
2097152             24653.42
4194304             24674.12
Point-to-point pairwise experiments for nodes cpu-cluster-hpc-4 cpu-cluster-hpc-13
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.56
1                       1.56
2                       1.56
4                       1.56
8                       1.56
16                      1.57
32                      1.73
64                      1.78
128                     1.82
256                     2.33
512                     2.44
1024                    2.56
2048                    2.74
4096                    3.49
8192                    4.06
16384                   5.31
32768                   6.88
65536                   9.05
131072                 14.06
262144                 17.14
524288                 27.83
1048576                49.42
2097152                92.19
4194304               178.49
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.97
2                       8.15
4                      16.17
8                      32.47
16                     64.59
32                    129.88
64                    247.70
128                   496.68
256                   940.58
512                  1779.41
1024                 3326.57
2048                 6067.79
4096                 8941.25
8192                13558.01
16384               19011.68
32768               21831.92
65536               23366.18
131072              24019.55
262144              24303.91
524288              24527.35
1048576             24610.43
2097152             24646.83
4194304             24673.83
Point-to-point pairwise experiments for nodes cpu-cluster-hpc-4 cpu-cluster-hpc-2
# OSU MPI Latency Test v5.8
# Size          Latency (us)
