Start time: 1725092790
Point-to-point pairwise experiments for nodes cluster-256-hpc-27 cluster-256-hpc-26
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.59
1                       1.58
2                       1.58
4                       1.58
8                       1.58
16                      1.58
32                      1.74
64                      1.77
128                     1.83
256                     2.34
512                     2.45
1024                    2.65
2048                    2.74
4096                    3.48
8192                    4.00
16384                   5.29
32768                   6.92
65536                   9.00
131072                 13.95
262144                 17.18
524288                 27.81
1048576                49.82
2097152                92.17
4194304               176.93
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.06
2                       8.14
4                      15.83
8                      32.61
16                     64.49
32                    129.42
64                    246.75
128                   494.63
256                   947.65
512                  1744.60
1024                 3368.85
2048                 6063.82
4096                 8788.33
8192                13700.61
16384               19036.33
32768               22155.23
65536               23075.42
131072              23973.20
262144              24350.45
524288              24526.19
1048576             24610.96
2097152             24652.89
4194304             24672.01
Point-to-point pairwise experiments for nodes cluster-256-hpc-27 cluster-256-hpc-30
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.59
1                       1.58
2                       1.58
4                       1.59
8                       1.59
16                      1.59
32                      1.75
64                      1.78
128                     1.84
256                     2.34
512                     2.44
1024                    2.67
2048                    2.76
4096                    3.55
8192                    4.07
16384                   5.34
32768                   6.96
65536                   9.27
131072                 14.36
262144                 17.49
524288                 27.81
1048576                52.04
2097152                92.16
4194304               176.93
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.83
2                       7.80
4                      14.76
8                      31.28
16                     61.91
32                    124.67
64                    244.06
128                   492.57
256                   920.99
512                  1715.54
1024                 3243.82
2048                 5918.51
4096                 9117.33
8192                13638.36
16384               18878.06
32768               21708.50
65536               23255.54
131072              24000.63
262144              24350.07
524288              24523.89
1048576             24611.11
2097152             24653.10
4194304             24672.20
Point-to-point pairwise experiments for nodes cluster-256-hpc-27 cluster-256-hpc-28
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.58
1                       1.58
2                       1.58
4                       1.58
8                       1.58
16                      1.59
32                      1.73
64                      1.79
128                     1.86
256                     2.35
512                     2.46
1024                    2.64
2048                    2.77
4096                    3.48
8192                    4.01
16384                   5.30
32768                   6.82
65536                   8.77
131072                 13.52
262144                 17.21
524288                 27.83
1048576                49.80
2097152                92.23
4194304               176.81
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       4.09
2                       8.20
4                      16.05
8                      32.58
16                     64.21
32                    129.40
64                    247.04
128                   492.95
256                   926.28
512                  1755.58
1024                 3345.84
2048                 6036.66
4096                 9058.85
8192                13569.89
16384               18963.84
32768               21839.29
65536               23359.30
131072              24013.40
262144              24352.90
524288              24527.12
1048576             24611.25
2097152             24652.35
4194304             24671.81
Point-to-point pairwise experiments for nodes cluster-256-hpc-27 cluster-256-hpc-4
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.56
1                       1.56
2                       1.56
4                       1.56
8                       1.56
16                      1.57
32                      1.72
64                      1.76
128                     1.80
256                     2.32
512                     2.43
1024                    2.65
2048                    2.73
4096                    3.47
8192                    3.99
16384                   5.33
32768                   6.82
65536                   9.08
131072                 13.95
262144                 17.21
524288                 27.79
1048576                49.64
2097152                92.00
4194304               176.84
# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.63
2                       7.86
4                      15.80
8                      31.67
16                     63.42
32                    121.51
64                    246.70
128                   472.82
256                   917.37
512                  1682.44
1024                 3292.02
2048                 5966.46
4096                 9127.78
8192                13638.79
16384               18916.90
32768               21834.37
65536               23354.44
131072              24017.69
262144              24352.30
524288              24524.52
1048576             24611.74
2097152             24653.67
4194304             24667.31
Point-to-point pairwise experiments for nodes cluster-256-hpc-27 cluster-256-hpc-19
# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.59
1                       1.58
2                       1.58
4                       1.59
8                       1.59
