Start time: 1725094596
mixbench-cpu (v0.04-12-g440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 96
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,   13.80,    4.86,  19.46,      0.125,   13.76,    2.44,  19.50,     0.250,   11.51,    5.83,  23.33
            1,      0.750,   15.10,   13.33,  17.78,      0.375,   15.11,    6.66,  17.77,     0.750,   14.35,   14.03,  18.70
            2,      1.250,   15.90,   21.10,  16.88,      0.625,   15.30,   10.97,  17.55,     1.250,   14.62,   22.95,  18.36
            3,      1.750,   15.76,   29.81,  17.03,      0.875,   15.60,   15.06,  17.21,     1.750,   14.97,   31.37,  17.93
            4,      2.250,   15.99,   37.77,  16.79,      1.125,   16.04,   18.83,  16.73,     2.250,   16.26,   37.15,  16.51
            6,      3.250,   17.42,   50.07,  15.41,      1.625,   17.30,   25.22,  15.52,     3.250,   16.72,   52.17,  16.05
            8,      4.250,   17.83,   64.00,  15.06,      2.125,   17.96,   31.77,  14.95,     4.250,   16.55,   68.93,  16.22
           12,      6.250,   19.24,   87.20,  13.95,      3.125,   19.28,   43.50,  13.92,     6.250,   20.53,   81.70,  13.07
           16,      8.250,   21.43,  103.32,  12.52,      4.125,   21.43,   51.67,  12.53,     8.250,   25.63,   86.41,  10.47
           20,     10.250,   25.97,  105.94,  10.34,      5.125,   26.03,   52.86,  10.31,    10.250,   31.57,   87.14,   8.50
           24,     12.250,   32.52,  101.13,   8.26,      6.125,   32.68,   50.31,   8.21,    12.250,   37.38,   87.97,   7.18
           28,     14.250,   35.64,  107.34,   7.53,      7.125,   35.42,   54.00,   7.58,    14.250,   43.62,   87.70,   6.15
           32,     16.250,   39.95,  109.19,   6.72,      8.125,   39.85,   54.73,   6.74,    16.250,   49.00,   89.02,   5.48
           40,     20.250,   49.36,  110.13,   5.44,     10.125,   49.27,   55.16,   5.45,    20.250,   61.53,   88.34,   4.36
           48,     24.250,   59.17,  110.02,   4.54,     12.125,   59.01,   55.15,   4.55,    24.250,   73.80,   88.21,   3.64
           56,     28.250,   69.52,  109.08,   3.86,     14.125,   69.57,   54.50,   3.86,    28.250,   86.13,   88.05,   3.12
           64,     32.250,   80.22,  107.92,   3.35,     16.125,   80.22,   53.96,   3.35,    32.250,   99.42,   87.08,   2.70
           80,     40.250,   99.38,  108.71,   2.70,     20.125,   98.84,   54.66,   2.72,    40.250,  124.64,   86.69,   2.15
          104,     52.250,  130.11,  107.80,   2.06,     26.125,  130.10,   53.90,   2.06,    52.250,  162.79,   86.16,   1.65
          120,     60.250,  151.34,  106.87,   1.77,     30.125,  153.52,   52.68,   1.75,    60.250,  188.16,   85.95,   1.43
          128,     64.250,  163.93,  105.21,   1.64,     32.125,  163.74,   52.67,   1.64,    64.250,  200.62,   85.97,   1.34
          160,     80.250,  199.09,  108.20,   1.35,     40.125,  200.03,   53.85,   1.34,    80.250,  255.79,   84.22,   1.05
          192,     96.250,  246.95,  104.62,   1.09,     48.125,  246.21,   52.47,   1.09,    96.250,  306.77,   84.22,   0.88
          256,    128.250,  325.46,  105.78,   0.82,     64.125,  325.55,   52.88,   0.82,   128.250,  408.07,   84.36,   0.66
          320,    160.250,  410.37,  104.82,   0.65,     80.125,  409.52,   52.52,   0.66,   160.250,  509.01,   84.51,   0.53
          512,    256.250,  665.91,  103.30,   0.40,    128.125,  665.51,   51.68,   0.40,   256.250,  813.14,   84.59,   0.33
------------------------------------------------------------------------------------------------------------------------------
End time: 1725094873
