Start time: 1725094317
mixbench-cpu (v0.04-12-g440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 96
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,   14.31,    4.69,  18.76,      0.125,   14.36,    2.34,  18.70,     0.250,   12.00,    5.59,  22.37
            1,      0.750,   15.52,   12.97,  17.30,      0.375,   15.52,    6.49,  17.29,     0.750,   14.98,   13.44,  17.92
            2,      1.250,   16.51,   20.32,  16.26,      0.625,   15.75,   10.65,  17.04,     1.250,   15.20,   22.08,  17.66
            3,      1.750,   16.13,   29.13,  16.65,      0.875,   16.13,   14.56,  16.64,     1.750,   15.59,   30.13,  17.22
            4,      2.250,   16.47,   36.68,  16.30,      1.125,   16.24,   18.60,  16.53,     2.250,   16.16,   37.37,  16.61
            6,      3.250,   17.85,   48.87,  15.04,      1.625,   17.91,   24.35,  14.99,     3.250,   17.13,   50.93,  15.67
            8,      4.250,   18.40,   62.00,  14.59,      2.125,   18.37,   31.05,  14.61,     4.250,   17.00,   67.12,  15.79
           12,      6.250,   19.65,   85.36,  13.66,      3.125,   19.61,   42.78,  13.69,     6.250,   20.77,   80.78,  12.92
           16,      8.250,   21.78,  101.67,  12.32,      4.125,   21.82,   50.74,  12.30,     8.250,   25.99,   85.20,  10.33
           20,     10.250,   26.30,  104.60,  10.20,      5.125,   26.36,   52.19,  10.18,    10.250,   31.84,   86.42,   8.43
           24,     12.250,   32.88,  100.03,   8.17,      6.125,   32.77,   50.17,   8.19,    12.250,   37.73,   87.16,   7.11
           28,     14.250,   35.64,  107.32,   7.53,      7.125,   35.43,   53.98,   7.58,    14.250,   44.10,   86.73,   6.09
           32,     16.250,   40.12,  108.71,   6.69,      8.125,   40.21,   54.24,   6.68,    16.250,   49.21,   88.65,   5.46
           40,     20.250,   49.69,  109.39,   5.40,     10.125,   49.73,   54.65,   5.40,    20.250,   61.84,   87.90,   4.34
           48,     24.250,   59.75,  108.95,   4.49,     12.125,   59.60,   54.61,   4.50,    24.250,   74.42,   87.47,   3.61
           56,     28.250,   69.96,  108.39,   3.84,     14.125,   70.08,   54.10,   3.83,    28.250,   86.90,   87.26,   3.09
           64,     32.250,   80.69,  107.29,   3.33,     16.125,   80.85,   53.54,   3.32,    32.250,   99.96,   86.60,   2.69
           80,     40.250,   99.20,  108.91,   2.71,     20.125,   99.16,   54.48,   2.71,    40.250,  125.84,   85.86,   2.13
          104,     52.250,  130.86,  107.18,   2.05,     26.125,  131.27,   53.42,   2.04,    52.250,  164.44,   85.29,   1.63
          120,     60.250,  152.48,  106.07,   1.76,     30.125,  154.13,   52.47,   1.74,    60.250,  189.68,   85.27,   1.42
          128,     64.250,  164.80,  104.65,   1.63,     32.125,  165.23,   52.19,   1.62,    64.250,  202.89,   85.01,   1.32
          160,     80.250,  200.91,  107.22,   1.34,     40.125,  200.80,   53.64,   1.34,    80.250,  258.25,   83.41,   1.04
          192,     96.250,  248.79,  103.85,   1.08,     48.125,  248.66,   51.95,   1.08,    96.250,  310.20,   83.29,   0.87
          256,    128.250,  327.45,  105.14,   0.82,     64.125,  328.94,   52.33,   0.82,   128.250,  413.37,   83.28,   0.65
          320,    160.250,  409.97,  104.93,   0.65,     80.125,  407.46,   52.79,   0.66,   160.250,  516.78,   83.24,   0.52
          512,    256.250,  674.43,  101.99,   0.40,    128.125,  674.58,   50.98,   0.40,   256.250,  826.06,   83.27,   0.32
------------------------------------------------------------------------------------------------------------------------------
End time: 1725094597
