Start time: 1725095146
mixbench-cpu (v0.04-12-g440a133)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 96
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,   14.25,    4.71,  18.83,      0.125,   14.20,    2.36,  18.90,     0.250,   11.92,    5.63,  22.52
            1,      0.750,   15.36,   13.11,  17.48,      0.375,   15.38,    6.54,  17.45,     0.750,   14.93,   13.49,  17.98
            2,      1.250,   15.76,   21.29,  17.03,      0.625,   15.72,   10.67,  17.07,     1.250,   15.17,   22.12,  17.70
            3,      1.750,   16.00,   29.36,  16.78,      0.875,   15.79,   14.88,  17.00,     1.750,   15.52,   30.26,  17.29
            4,      2.250,   16.27,   37.11,  16.49,      1.125,   16.25,   18.58,  16.52,     2.250,   15.77,   38.29,  17.02
            6,      3.250,   17.62,   49.52,  15.24,      1.625,   17.57,   24.83,  15.28,     3.250,   16.92,   51.56,  15.86
            8,      4.250,   18.19,   62.71,  14.76,      2.125,   17.90,   31.86,  14.99,     4.250,   16.83,   67.80,  15.95
           12,      6.250,   19.42,   86.41,  13.83,      3.125,   19.39,   43.27,  13.85,     6.250,   20.65,   81.24,  13.00
           16,      8.250,   21.56,  102.70,  12.45,      4.125,   21.46,   51.59,  12.51,     8.250,   25.64,   86.36,  10.47
           20,     10.250,   25.98,  105.92,  10.33,      5.125,   26.01,   52.89,  10.32,    10.250,   31.47,   87.43,   8.53
           24,     12.250,   32.39,  101.53,   8.29,      6.125,   32.32,   50.87,   8.31,    12.250,   37.35,   88.03,   7.19
           28,     14.250,   35.26,  108.49,   7.61,      7.125,   35.05,   54.57,   7.66,    14.250,   43.54,   87.85,   6.17
           32,     16.250,   39.47,  110.52,   6.80,      8.125,   39.65,   55.01,   6.77,    16.250,   48.71,   89.54,   5.51
           40,     20.250,   48.94,  111.08,   5.49,     10.125,   48.85,   55.63,   5.49,    20.250,   60.91,   89.24,   4.41
           48,     24.250,   58.79,  110.73,   4.57,     12.125,   58.76,   55.39,   4.57,    24.250,   73.27,   88.84,   3.66
           56,     28.250,   68.95,  109.98,   3.89,     14.125,   69.11,   54.87,   3.88,    28.250,   85.72,   88.47,   3.13
           64,     32.250,   79.40,  109.03,   3.38,     16.125,   79.53,   54.42,   3.38,    32.250,   98.22,   88.14,   2.73
           80,     40.250,   98.05,  110.19,   2.74,     20.125,   97.80,   55.24,   2.74,    40.250,  123.99,   87.14,   2.16
          104,     52.250,  128.78,  108.91,   2.08,     26.125,  129.17,   54.29,   2.08,    52.250,  161.77,   86.70,   1.66
          120,     60.250,  150.07,  107.77,   1.79,     30.125,  151.77,   53.28,   1.77,    60.250,  187.02,   86.48,   1.44
          128,     64.250,  162.65,  106.03,   1.65,     32.125,  162.26,   53.14,   1.65,    64.250,  199.90,   86.28,   1.34
          160,     80.250,  197.68,  108.98,   1.36,     40.125,  197.60,   54.51,   1.36,    80.250,  254.71,   84.57,   1.05
          192,     96.250,  244.82,  105.53,   1.10,     48.125,  244.52,   52.83,   1.10,    96.250,  305.29,   84.63,   0.88
          256,    128.250,  323.03,  106.58,   0.83,     64.125,  323.56,   53.20,   0.83,   128.250,  406.56,   84.68,   0.66
          320,    160.250,  404.50,  106.35,   0.66,     80.125,  401.18,   53.61,   0.67,   160.250,  508.27,   84.63,   0.53
          512,    256.250,  664.24,  103.56,   0.40,    128.125,  664.17,   51.78,   0.40,   256.250,  812.93,   84.62,   0.33
------------------------------------------------------------------------------------------------------------------------------
End time: 1725095421
