Date,Service description,Service ID,SKU description,SKU ID,Usage amount,Usage unit,Cost ($),Discounts ($),Promotions and others ($),Unrounded subtotal ($),Subtotal ($)
2024-08-31,Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Apac(Excluding Korea and Indonesia) to Americas,93F4-2190-D5EF,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-31,Compute Engine,6F81-5844-456A,Network Intra Zone Data Transfer In,9C76-A3FB-C60A,62.872,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-31,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Santiago to Americas,A881-8588-45B1,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-31,Compute Engine,6F81-5844-456A,Licensing Fee for Debian 10 Buster (CPU cost),C0CF-3E3B-57FB,2.112,hour,0.00,0.00,0.00,0.000000,0.00
2024-08-31,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Netherlands to Americas,C1BB-5F08-C60D,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-31,Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Middle East to Americas,C4A4-76CD-56D0,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-31,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Americas,C8EA-1A86-3D28,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-31,Compute Engine,6F81-5844-456A,Licensing Fee for Debian 10 Buster (RAM cost),CD20-B4CA-0F7C,2.112,gibibyte hour,0.00,0.00,0.00,0.000000,0.00
2024-08-31,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Finland to Americas,D72A-E5E4-973E,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-31,Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Americas to EMEA,DFA5-B5C6-36D6,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-31,Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Americas to Americas,E926-D07C-E1A4,33.235,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-31,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Los Angeles to Americas,EB67-3CB7-1BF5,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-31,Compute Engine,6F81-5844-456A,Network Internet Data Transfer In from Africa to Americas,EF89-EF79-A587,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-31,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer In from Singapore to Americas,F208-E30F-07D3,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-31,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Santiago,F39C-BBA9-BD47,0,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08-31,Cloud Build,8B5D-EF7D-EB12,Build time e2-standard-2,A464-9020-6404,33.583,minutes of build time,0.00,0.00,0.00,0.000000,0.00
2024-08-31,Networking,E505-1604-58F8,Networking Service Directory Integrated Resource,50F4-D7E5-3682,0.03,month,0.00,0.00,0.00,0.000000,0.00
2024-08-31,Networking,E505-1604-58F8,Network Intelligence Center Network Analyzer Resource Hours,9BF8-CD36-F9B8,53,count,0.06,-0.06,0.00,0.000000,0.00
2024-08-31,Networking,E505-1604-58F8,Network Intelligence Center Internet to Google Cloud Performance Resource Hours,BDBA-22FA-3925,53,count,0.04,-0.04,0.00,0.000000,0.00
2024-08-31,Networking,E505-1604-58F8,Network Intelligence Center Topology and Google Cloud Performance Resource Hours,D9AD-28F8-05D8,53,count,0.06,-0.06,0.00,0.000000,0.00
2024-08-31,HPC VM Image (Rocky Linux 8),F041-C342-3F38,Licensing Fee for New Plan,9B45-C072-5DF4,1.271,hour,0.00,0.00,0.00,0.000000,0.00
