Month,Service description,Service ID,SKU description,SKU ID,Usage amount,Usage unit,Cost ($),Discounts ($),Promotions and others ($),Unrounded subtotal ($),Subtotal ($)
2024-08,Compute Engine,6F81-5844-456A,SSD backed PD Capacity,B188-61DD-52E4,0.933,gibibyte month,0.16,0.00,0.00,0.158583,0.16
2024-08,Networking,E505-1604-58F8,Networking Cloud NAT IP Usage,8515-9425-D2CE,29.131,hour,0.15,0.00,0.00,0.145618,0.15
2024-08,Compute Engine,6F81-5844-456A,Compute optimized Ram running in Americas,E7E5-0449-5933,28.507,gibibyte hour,0.13,0.00,0.00,0.129849,0.13
2024-08,Compute Engine,6F81-5844-456A,N2 Instance Core running in Americas,BB77-5FDA-69D9,3.63,hour,0.11,0.00,0.00,0.114745,0.11
2024-08,Compute Engine,6F81-5844-456A,N2 Instance Ram running in Americas,5B01-D157-A097,8.184,gibibyte hour,0.03,0.00,0.00,0.034673,0.03
2024-08,Compute Engine,6F81-5844-456A,N2D AMD Instance Core running in Americas,A03E-E620-7389,0.604,hour,0.02,0.00,0.00,0.016608,0.02
2024-08,Compute Engine,6F81-5844-456A,N2D AMD Instance Ram running in Americas,5535-6D2D-4B50,2.416,gibibyte hour,0.01,0.00,0.00,0.008904,0.01
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Columbus,735D-08F9-4DB3,0.148,gibibyte,0.00,0.00,0.00,0.002946,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Data Transfer Out via Carrier Peering Network - Americas Based,984A-1F27-2D1F,0.055,gibibyte,0.00,0.00,0.00,0.002125,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Las Vegas,ACC0-9F23-6029,0.065,gibibyte,0.00,0.00,0.00,0.001298,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Internet Data Transfer Out from Americas to Australia,FDBC-6E3B-D4D8,0.003,gibibyte,0.00,0.00,0.00,0.000500,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Los Angeles,0C3C-6B13-B1E8,0.01,gibibyte,0.00,0.00,0.00,0.000208,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Seoul,E600-FADE-52E5,0,gibibyte,0.00,0.00,0.00,0.000032,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Jakarta,7C79-34BD-F61B,0,gibibyte,0.00,0.00,0.00,0.000018,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Virginia,C863-37DA-506E,0,gibibyte,0.00,0.00,0.00,0.000003,0.00
2024-08,Compute Engine,6F81-5844-456A,Network Inter Region Data Transfer Out from Americas to Madrid,EFDD-0A28-5372,0,gibibyte,0.00,0.00,0.00,0.000003,0.00
