Month,Service description,Service ID,SKU description,SKU ID,Usage amount,Usage unit,Cost ($),Discounts ($),Promotions and others ($),Unrounded subtotal ($),Subtotal ($)
2024-08,Kubernetes Engine,CCD8-9BF1-090E,Zonal Kubernetes Clusters,6B92-A835-08AB,37.326,hour,3.73,-3.73,0.00,0.000000,0.00
2024-08,Networking,E505-1604-58F8,Network Private Service Connect Google Managed Service GKE Consumer Data Processing Primary,11AD-2790-7C4B,38.664,gibibyte,0.00,0.00,0.00,0.000000,0.00
2024-08,Networking,E505-1604-58F8,Networking Service Directory Integrated Resource,50F4-D7E5-3682,0.47,month,0.00,0.00,0.00,0.000000,0.00
2024-08,Networking,E505-1604-58F8,Networking Private Service Connect Partner Select End Point,6882-BFB0-B7E5,34.989,hour,0.35,-0.35,0.00,0.000000,0.00
2024-08,Networking,E505-1604-58F8,Network Intelligence Center Network Analyzer Resource Hours,9BF8-CD36-F9B8,"7,107",count,7.82,-7.82,0.00,0.000000,0.00
2024-08,Networking,E505-1604-58F8,Network Intelligence Center Internet to Google Cloud Performance Resource Hours,BDBA-22FA-3925,"7,107",count,5.69,-5.69,0.00,0.000000,0.00
2024-08,Networking,E505-1604-58F8,Network Intelligence Center Connectivity Tests Runs,C985-127E-325E,4,count,0.00,0.00,0.00,0.000000,0.00
2024-08,Networking,E505-1604-58F8,Network Intelligence Center Topology and Google Cloud Performance Resource Hours,D9AD-28F8-05D8,"7,107",count,7.82,-7.82,0.00,0.000000,0.00
2024-08,Schedmd-Slurm-GCP,EC14-3B1B-7463,Licensing Fee for Free Plan,3118-6A8B-31E5,1.667,hour,0.00,0.00,0.00,0.000000,0.00
2024-08,HPC VM Image (Rocky Linux 8),F041-C342-3F38,Licensing Fee for New Plan,9B45-C072-5DF4,16.033,hour,0.00,0.00,0.00,0.000000,0.00
,,,,,,,,Subtotal,26488.009439,26488.01
,,,,,,,,Invoice total,26488.009439,26488.01
