,,,,
Spend by 'Additional Info' ,Month,,,
Row Labels,8,9,(empty),Total Result
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-agentpool-61087760-vmss_0"",""ContainerId"":""2a5c34b4-c1ff-4a16-8387-721f900a65c0"",""NodeId"":""8e717af7-b67c-ce9e-4692-eaa3441d14e9""}",4.68773871660232E-06,,,4.68773871660232E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-agentpool-94886110-vmss_0"",""ContainerId"":""89c40301-caf9-4123-ad79-cb0cb0eb5e43"",""NodeId"":""22822ea2-8a98-55be-8468-8109366fa02b""}",1.20822139084339E-06,,,1.20822139084339E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_0"",""ContainerId"":""d53686a0-1981-4781-8e81-a3dc04791794"",""NodeId"":""4159b1d7-eb23-be3d-1c3e-2443ee7e46dd""}",2.86978259682653E-06,,,2.86978259682653E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_1"",""ContainerId"":""c4be3edc-f505-4799-b247-860b7a8b71d6"",""NodeId"":""51e4e2b8-e917-4332-d839-b17016799a6c""}",2.80221283435821E-06,,,2.80221283435821E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_10"",""ContainerId"":""c4222f19-72e1-46bd-92f9-a74954552d6b"",""NodeId"":""3c1d88b5-bb27-2b30-31f1-7f776c062192""}",2.74102985858916E-06,,,2.74102985858916E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_11"",""ContainerId"":""1971e338-cbf6-4844-bdaa-02ea54bb0981"",""NodeId"":""ac13253b-1e64-7d44-975e-a17d8aae60b1""}",2.78014384210109E-06,,,2.78014384210109E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_12"",""ContainerId"":""c0d3dc34-5969-42dc-95a5-ece3e61d584d"",""NodeId"":""31fba2d5-7b30-0201-70f6-65522e9b9ac3""}",3.05343322455882E-06,,,3.05343322455882E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_13"",""ContainerId"":""9b698fbb-1d03-4433-a563-781fb154ecc1"",""NodeId"":""509859cf-98b5-cbfc-f092-9682f991bf69""}",2.92632803320884E-06,,,2.92632803320884E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_14"",""ContainerId"":""49641785-2c2d-480a-90e7-f2f45171dd2a"",""NodeId"":""a05d2609-fcba-b05c-0706-ecc5434244f4""}",2.82137319445609E-06,,,2.82137319445609E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_15"",""ContainerId"":""06daaaa2-184c-415b-bc82-aeffbc5786f4"",""NodeId"":""719d8442-9175-c787-9b78-223620ed4f0a""}",2.84614741802214E-06,,,2.84614741802214E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_16"",""ContainerId"":""7fc7492a-f53b-4829-ba35-6465e7fa8475"",""NodeId"":""707bca29-9b73-65f4-9c72-ad3801264844""}",2.8634975105524E-06,,,2.8634975105524E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_17"",""ContainerId"":""c8fd2471-4fd5-4a35-875c-0fb98f57d538"",""NodeId"":""8e865bd1-eb1a-6264-c62d-15b7b5076270""}",2.76942461729048E-06,,,2.76942461729048E-06
"{""PipelineType"":""v2"",""DataTransferDirection"":""DataTrOut"",""VmName"":""aks-nodepool1-10782489-vmss_18"",""ContainerId"":""e41697b0-4720-4dad-b8d8-0d45f456dbd7"",""NodeId"":""2aa3850b-4bed-5eef-6a19-f0720b853b1d""}",2.95445837080477E-06,,,2.95445837080477E-06
